Country,Score,upperwhisker,lowerwhisker,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
Azerbaijan,4.893400192260742,5.018367290496826,4.768433094024658,1.4329136610031128,0.8756862282752991,0.4956248104572296,0.6681506633758545,0.11156637966632843,0.19919909536838531,1.1102182865142822
Nigeria,4.880799770355225,5.0178422927856445,4.743757247924805,1.0417711734771729,1.0754878520965576,0.2555779218673706,0.5658091306686401,0.2014150172472,0.018978452309966087,1.7218093872070312
State of Palestine,4.879499912261963,5.005936622619629,4.753063201904297,,,,,,,
Cameroon,4.8744001388549805,4.995950222015381,4.75285005569458,0.9432443380355835,0.856004536151886,0.28758153319358826,0.5212279558181763,0.1263100653886795,0.06031104177236557,2.0797035694122314
Ukraine,4.873000144958496,4.988330841064453,4.757669448852539,1.3498984575271606,1.3152741193771362,0.513292670249939,0.6306490898132324,0.2854280471801758,0.025387566536664963,0.7530264854431152
Namibia,4.831699848175049,4.957913398742676,4.705486297607422,1.2663460969924927,1.2120418548583984,0.3068712055683136,0.46973705291748047,0.06869890540838242,0.061482444405555725,1.4464945793151855
Morocco,4.7947001457214355,4.9124226570129395,4.676977634429932,1.2134435176849365,0.4710526466369629,0.4946403503417969,0.6311025023460388,0.042098041623830795,0.08181802183389664,1.8605284690856934
Pakistan,4.656700134277344,4.778716564178467,4.534683704376221,1.0685423612594604,0.6003774404525757,0.3207152485847473,0.541945219039917,0.1444339007139206,0.07396379113197327,1.9067487716674805
Niger,4.556300163269043,4.711950778961182,4.400649547576904,0.5728497505187988,0.6773866415023804,0.29313042759895325,0.6145157217979431,0.14497682452201843,0.14679871499538422,2.106597661972046
Burkina Faso,4.547999858856201,4.686229228973389,4.409770488739014,0.755849301815033,0.6850556135177612,0.2737254202365875,0.4829391837120056,0.17319443821907043,0.17866826057434082,1.998551368713379
Mauritania,4.505099773406982,4.672933101654053,4.337266445159912,1.077660083770752,0.7046297788619995,0.40008118748664856,0.34259742498397827,0.13252516090869904,0.1984754204750061,1.6491413116455078
Gambia,4.484899997711182,4.625396251678467,4.3444037437438965,0.750298023223877,0.6838372349739075,0.32972538471221924,0.4585888683795929,0.3243280053138733,0.047796253114938736,1.890296220779419
Chad,4.47130012512207,4.630046844482422,4.312553405761719,0.6033025979995728,0.8054125308990479,0.1985265612602234,0.41112658381462097,0.21845760941505432,0.11272654682397842,2.121742010116577
Kenya,4.469600200653076,4.595269203186035,4.343931198120117,1.036737322807312,0.8953505754470825,0.35330137610435486,0.5185921788215637,0.2815104126930237,0.06859482079744339,1.3155341148376465
Tunisia,4.421800136566162,4.505309104919434,4.338291168212891,1.3064451217651367,0.954691469669342,0.5791094303131104,0.253939151763916,0.023889748379588127,0.01835382729768753,1.2853269577026367
Benin,4.377399921417236,4.50978946685791,4.2450103759765625,0.9135749340057373,0.12834492325782776,0.2840454578399658,0.5668084025382996,0.11206892877817154,0.2520597577095032,2.120502233505249
Uganda,4.371699810028076,4.500598907470703,4.242800712585449,0.7719525694847107,1.1507896184921265,0.37335091829299927,0.5874472260475159,0.17783315479755402,0.054190244525671005,1.2561657428741455
Myanmar,4.354499816894531,4.501118183135986,4.207881450653076,0.9776164293289185,0.9881134629249573,0.43571144342422485,0.4504128396511078,0.4008112847805023,0.17410466074943542,0.9277763366699219
Cambodia,4.340700149536133,4.445869445800781,4.235530853271484,1.0109834671020508,1.0185363292694092,0.44200488924980164,0.8633310794830322,0.1698567122220993,0.07104724645614624,0.7649195194244385
Ghana,4.289400100708008,4.396393299102783,4.182406902313232,1.0765100717544556,0.7471469044685364,0.35951659083366394,0.6232233047485352,0.18272735178470612,0.027729582041502,1.2725701332092285
Liberia,4.268599987030029,4.474266529083252,4.062933444976807,0.6187779307365417,0.673256516456604,0.30065545439720154,0.545839786529541,0.17783337831497192,0.07450147718191147,1.8777449131011963
Mali,4.23199987411499,4.347399711608887,4.116600036621094,0.7474067211151123,0.6879045367240906,0.2674601972103119,0.5856997966766357,0.12035863101482391,0.08960305899381638,1.733550786972046
Madagascar,4.22790002822876,4.35860013961792,4.0971999168396,0.6279069185256958,0.8234909772872925,0.3332248628139496,0.2504751682281494,0.17243008315563202,0.12322671711444855,1.8971796035766602
Togo,4.214099884033203,4.3302717208862305,4.097928047180176,0.758493959903717,0.5861082673072815,0.32009798288345337,0.45263394713401794,0.12668223679065704,0.15601274371147156,1.8141107559204102
